,Unnamed: 0,Unnamed: 0.1,Month,Day,Crime Count,Avg_Temp,Humidity,Precip,Wind_Speed,Conditions,Ice Cream Shop
112,112,112,4,29,2,73.9,55.04,0.0,6.4,Partially cloudy,7
113,113,113,4,30,6,74.2,61.77,0.67,12.7,"Rain, Partially cloudy",20
114,114,114,5,1,4,72.1,79.61,0.25,12.1,"Rain, Partially cloudy",16
115,115,115,5,2,6,73.4,72.02,0.03,12.6,"Rain, Partially cloudy",23
116,116,116,5,3,4,69.0,72.43,0.01,15.6,"Rain, Partially cloudy",15
117,117,117,5,4,3,61.9,60.42,0.03,16.1,"Rain, Partially cloudy",10
118,118,118,5,5,4,56.2,62.77,0.0,21.9,Partially cloudy,13
119,119,119,5,6,2,58.1,54.81,0.0,19.0,Partially cloudy,7
120,120,120,5,7,7,65.1,53.15,0.0,15.0,Clear,22
121,121,121,5,8,6,72.7,48.42,0.0,13.3,Clear,21
122,122,122,5,9,3,69.3,58.18,0.0,12.7,Partially cloudy,10
123,123,123,5,10,4,72.1,63.61,0.0,12.1,Partially cloudy,16
124,124,124,5,11,7,74.1,67.35,0.0,9.7,Partially cloudy,23
125,125,125,5,12,8,74.1,68.93,0.01,9.2,"Rain, Partially cloudy",29
126,126,126,5,13,3,70.0,64.8,0.14,14.4,"Rain, Partially cloudy",12
127,127,127,5,14,4,68.2,53.65,0.0,21.4,Clear,15
128,128,128,5,15,6,59.9,42.23,0.0,11.5,Partially cloudy,22
129,129,129,5,16,3,64.4,46.06,0.0,11.5,Partially cloudy,11
130,130,130,5,17,3,68.0,72.16,0.65,12.7,"Rain, Overcast",12
131,131,131,5,18,4,71.4,75.33,0.07,7.5,"Rain, Overcast",12
132,132,132,5,19,1,70.1,78.14,0.03,13.2,"Rain, Overcast",4
133,133,133,5,20,6,64.3,88.74,0.09,13.9,"Rain, Overcast",22
134,134,134,5,21,6,69.8,74.38,0.13,20.2,"Rain, Partially cloudy",22
135,135,135,5,22,4,67.5,55.44,0.0,17.4,Clear,13
136,136,136,5,23,9,69.5,50.8,0.0,15.0,Clear,31
137,137,137,5,24,6,71.6,54.49,0.0,8.6,Partially cloudy,22
138,138,138,5,25,3,74.8,51.92,0.0,9.7,Clear,12
139,139,139,5,26,3,77.0,58.37,0.01,9.2,"Rain, Partially cloudy",10
140,140,140,5,27,9,76.3,60.46,0.0,14.4,Partially cloudy,32
141,141,141,5,28,2,76.1,53.09,0.0,10.4,Clear,7
142,142,142,5,29,1,76.9,58.44,0.0,10.4,Partially cloudy,3
143,143,143,5,30,4,78.9,57.34,0.0,11.0,Partially cloudy,14
144,144,144,5,31,5,80.1,54.43,0.0,8.1,Partially cloudy,19
145,145,145,6,1,2,78.0,63.2,0.0,12.1,Partially cloudy,7
146,146,146,6,2,2,78.2,65.9,0.03,12.1,"Rain, Partially cloudy",7
147,147,147,6,3,6,80.6,61.73,0.0,9.7,Partially cloudy,24
148,148,148,6,4,5,79.6,63.46,0.0,13.3,Partially cloudy,17
149,149,149,6,5,1,75.4,78.82,0.14,8.6,"Rain, Overcast",4
150,150,150,6,6,5,75.6,80.35,0.6,6.9,"Rain, Partially cloudy",17
151,151,151,6,7,1,78.6,63.68,0.13,16.1,"Rain, Partially cloudy",3
152,152,152,6,8,5,74.7,46.5,0.0,12.1,Clear,18
153,153,153,6,9,5,74.5,50.76,0.0,7.5,Partially cloudy,19
154,154,154,6,10,5,80.4,47.17,0.0,8.6,Partially cloudy,17
155,155,155,6,11,2,82.4,51.95,0.0,8.1,Partially cloudy,6
156,156,156,6,12,3,83.3,61.45,0.0,12.1,Partially cloudy,12
157,157,157,6,13,8,85.3,56.89,0.0,12.1,Clear,28
158,158,158,6,14,6,79.8,70.94,0.99,15.5,"Rain, Partially cloudy",23
159,159,159,6,15,2,78.9,76.25,0.25,18.3,"Rain, Partially cloudy",9
160,160,160,6,16,10,81.4,63.47,0.16,12.1,"Rain, Partially cloudy",35
161,161,161,6,17,5,78.0,73.59,0.1,16.7,"Rain, Partially cloudy",17
162,162,162,6,18,8,75.7,67.01,0.0,19.6,Overcast,29
163,163,163,6,19,8,75.7,53.67,0.0,13.8,Partially cloudy,27
164,164,164,6,20,4,75.5,53.62,0.0,5.8,Partially cloudy,16
165,165,165,6,21,4,79.8,52.24,0.0,10.3,Partially cloudy,14
166,166,166,6,23,2,83.0,54.92,0.0,12.7,Clear,8
167,167,167,6,24,1,84.7,55.51,0.0,12.1,Partially cloudy,3
168,168,168,6,25,4,87.3,55.26,0.0,12.7,Partially cloudy,15
169,169,169,6,26,3,79.4,69.21,0.36,12.6,"Rain, Partially cloudy",10
170,170,170,6,27,4,80.6,68.85,0.25,20.1,"Rain, Partially cloudy",14
171,171,171,6,28,6,78.2,75.56,0.36,15.0,"Rain, Partially cloudy",22
172,172,172,6,29,8,81.6,61.52,0.0,9.2,Partially cloudy,28
173,173,173,6,30,4,81.8,56.67,0.0,17.3,Partially cloudy,15
174,174,174,7,1,1,83.1,57.13,0.0,13.2,Partially cloudy,3
175,175,175,7,2,7,84.5,51.39,0.0,10.8,Partially cloudy,23
176,176,176,7,3,2,84.0,56.2,0.07,15.2,"Rain, Partially cloudy",6
177,177,177,7,4,5,84.3,64.56,0.02,12.7,"Rain, Partially cloudy",19
178,178,178,7,5,2,79.2,79.38,0.56,16.1,"Rain, Partially cloudy",7
