Month,Day,Crime Count,Avg_Temp,Humidity,Precip,Wind_Speed,Conditions
10,21,1,64.4,56.44,0.0,23.6,Partially cloudy
10,24,1,62.7,50.02,0.0,15.0,Partially cloudy
10,25,2,63.0,52.67,0.0,9.2,Clear
10,30,1,68.8,59.29,0.0,9.7,Clear
11,18,1,60.2,54.4,0.0,7.5,Clear
11,21,1,46.5,26.25,0.0,15.0,Clear
11,29,1,63.9,88.55,2.09,20.1,"Rain, Overcast"
12,03,2,47.2,63.96,0.09,9.2,"Rain, Partially cloudy"
12,07,1,51.1,73.16,0.0,9.2,Partially cloudy
12,11,1,38.6,58.35,0.0,9.7,Partially cloudy
12,12,1,52.0,76.82,0.0,9.4,Overcast
12,13,2,50.4,93.79,0.06,8.3,"Rain, Overcast"
12,15,1,37.0,49.95,0.0,17.9,Partially cloudy
12,18,2,54.3,86.01,0.17,20.2,"Rain, Overcast"
12,27,1,62.2,86.62,0.01,12.6,"Rain, Overcast"
12,28,1,55.9,67.24,0.0,7.5,Partially cloudy
