,Month,Day,Crime Count,Avg_Temp,Humidity,Precip,Wind_Speed,Conditions,Ice Cream Shop
37,2,7,30,42.2,45.93,0.0,13.3,Clear,100
38,2,8,31,42.5,47.61,0.0,19.0,Partially cloudy,105
39,2,9,17,33.7,55.5,0.0,18.1,Overcast,58
40,2,10,18,30.2,44.53,0.0,17.8,Partially cloudy,60
41,2,11,23,40.7,40.86,0.0,6.4,Clear,81
42,2,12,29,46.7,49.99,0.0,17.4,Partially cloudy,100
43,2,13,31,35.4,39.83,0.0,17.9,Clear,107
44,2,14,21,37.2,35.08,0.0,13.2,Partially cloudy,70
45,2,15,21,40.8,57.26,1.14,17.3,"Rain, Overcast",81
46,2,16,22,50.1,69.52,0.1,19.0,"Rain, Partially cloudy",76
47,2,17,18,44.9,67.55,0.0,16.7,Partially cloudy,52
48,2,18,19,45.4,58.48,0.0,9.2,Clear,66
49,2,19,28,51.7,50.68,0.0,13.2,Clear,96
50,2,20,23,55.0,74.85,0.0,8.1,Partially cloudy,82
51,2,21,27,59.0,84.53,0.04,11.5,"Rain, Overcast",94
52,2,22,45,60.3,87.83,0.94,7.5,"Rain, Overcast",147
53,2,23,21,56.4,92.59,1.26,15.0,"Rain, Overcast",77
54,2,24,25,53.8,73.59,0.89,21.4,"Rain, Overcast",90
55,2,25,28,44.3,56.14,0.0,21.9,Partially cloudy,95
56,2,26,20,42.5,50.11,0.0,17.9,Partially cloudy,67
57,2,27,18,45.1,51.13,0.0,10.8,Clear,63
58,2,28,24,51.3,48.22,0.0,13.3,Clear,82
59,2,29,22,58.8,54.99,0.0,12.7,Clear,84
60,3,1,18,59.1,67.41,0.45,18.5,"Rain, Partially cloudy",61
61,3,2,14,46.3,59.91,0.0,16.1,Partially cloudy,47
62,3,3,18,40.9,72.41,0.91,14.9,"Rain, Partially cloudy",59
63,3,4,19,44.6,75.12,0.0,13.9,Partially cloudy,67
64,3,5,32,48.2,60.54,0.0,8.1,Clear,108
65,3,6,29,53.5,47.53,0.0,11.0,Clear,103
66,3,7,23,55.0,54.46,0.0,11.5,Partially cloudy,80
67,3,8,28,60.0,62.95,0.0,10.9,Partially cloudy,96
68,3,9,28,63.9,64.17,0.0,16.7,Partially cloudy,99
69,3,10,23,68.6,62.55,0.01,15.0,"Rain, Partially cloudy",81
70,3,11,17,69.3,70.46,0.0,9.2,Partially cloudy,61
71,3,12,37,69.7,66.71,0.0,15.6,Partially cloudy,130
72,3,13,28,70.0,61.48,0.01,14.3,"Rain, Partially cloudy",94
73,3,14,22,65.4,68.16,0.0,17.9,Partially cloudy,68
74,3,15,18,68.6,55.32,0.0,14.4,Clear,64
75,3,16,23,70.8,45.42,0.0,14.4,Partially cloudy,81
76,3,17,15,64.6,34.72,0.0,10.9,Partially cloudy,58
77,3,18,25,64.6,40.35,0.0,10.3,Partially cloudy,81
78,3,19,15,63.3,66.87,0.01,16.7,"Rain, Partially cloudy",55
79,3,20,36,49.3,48.79,0.0,20.8,Partially cloudy,124
80,3,21,16,45.7,48.36,0.0,16.7,Clear,59
81,3,22,20,51.7,46.65,0.0,13.2,Clear,68
82,3,23,16,57.3,56.61,0.0,13.3,Partially cloudy,58
83,3,24,20,63.4,66.96,0.22,23.1,"Rain, Partially cloudy",67
84,3,25,18,64.4,65.39,0.0,12.8,Overcast,60
85,3,26,32,59.3,82.59,0.02,10.4,"Rain, Overcast",114
86,3,27,19,63.2,90.14,0.15,8.6,"Rain, Overcast",65
87,3,28,21,63.4,67.3,0.02,14.4,"Rain, Partially cloudy",72
88,3,29,22,58.5,44.45,0.0,10.4,Clear,86
89,3,30,20,60.1,51.55,0.0,12.6,Partially cloudy,69
90,3,31,16,66.7,75.43,0.08,15.6,"Rain, Overcast",55
91,4,1,34,66.3,86.63,1.3,10.3,"Rain, Overcast",118
92,4,2,25,58.4,54.94,0.05,21.4,"Rain, Partially cloudy",86
93,4,3,25,56.7,35.99,0.0,13.9,Clear,97
94,4,4,26,60.9,47.3,0.0,12.7,Clear,94
95,4,5,36,59.1,35.43,0.0,16.7,Clear,128
96,4,6,41,56.3,54.22,0.0,14.4,Partially cloudy,142
97,4,7,26,59.9,60.69,0.32,19.0,"Rain, Partially cloudy",86
98,4,8,22,55.9,48.32,0.02,19.6,"Rain, Partially cloudy",79
99,4,9,17,52.5,35.2,0.0,23.0,Clear,64
100,4,10,34,50.2,43.36,0.0,11.4,Partially cloudy,117
101,4,11,26,58.2,70.46,0.38,9.7,"Rain, Partially cloudy",86
102,4,12,22,63.3,73.18,0.27,18.5,"Rain, Partially cloudy",74
103,4,13,21,58.6,67.56,0.0,15.0,Overcast,73
104,4,14,19,61.4,68.14,0.04,16.2,"Rain, Overcast",71
105,4,15,16,60.0,48.21,0.0,20.2,Overcast,55
106,4,16,25,62.7,49.25,0.0,18.5,Partially cloudy,91
107,4,17,13,60.7,46.0,0.0,12.8,Clear,45
108,4,18,23,64.6,48.12,0.0,8.6,Clear,77
109,4,19,23,67.2,47.53,0.0,8.1,Partially cloudy,75
110,4,20,29,70.6,48.61,0.0,10.2,Partially cloudy,97
111,4,21,19,66.4,65.27,0.1,15.4,"Rain, Partially cloudy",62
112,4,22,21,65.3,81.71,0.37,9.7,"Rain, Overcast",69
113,4,23,28,65.8,65.03,0.0,16.1,Clear,102
114,4,24,24,66.9,57.62,0.0,9.2,Clear,91
115,4,25,19,69.7,64.99,0.0,14.3,Partially cloudy,62
116,4,26,16,71.0,68.02,0.0,9.7,Partially cloudy,59
117,4,27,23,71.9,65.82,0.0,11.5,Partially cloudy,79
118,4,28,39,73.5,68.27,0.0,10.9,Partially cloudy,135
119,4,29,18,73.9,55.04,0.0,6.4,Partially cloudy,57
120,4,30,20,74.2,61.77,0.67,12.7,"Rain, Partially cloudy",72
121,5,1,26,72.1,79.61,0.25,12.1,"Rain, Partially cloudy",84
122,5,2,22,73.4,72.02,0.03,12.6,"Rain, Partially cloudy",77
123,5,3,31,69.0,72.43,0.01,15.6,"Rain, Partially cloudy",106
124,5,4,19,61.9,60.42,0.03,16.1,"Rain, Partially cloudy",69
125,5,5,18,56.2,62.77,0.0,21.9,Partially cloudy,66
126,5,6,16,58.1,54.81,0.0,19.0,Partially cloudy,59
127,5,7,27,65.1,53.15,0.0,15.0,Clear,87
128,5,8,18,72.7,48.42,0.0,13.3,Clear,64
129,5,9,25,69.3,58.18,0.0,12.7,Partially cloudy,91
130,5,10,22,72.1,63.61,0.0,12.1,Partially cloudy,72
131,5,11,31,74.1,67.35,0.0,9.7,Partially cloudy,105
132,5,12,24,74.1,68.93,0.01,9.2,"Rain, Partially cloudy",82
133,5,13,30,70.0,64.8,0.14,14.4,"Rain, Partially cloudy",105
134,5,14,24,68.2,53.65,0.0,21.4,Clear,85
135,5,15,42,59.9,42.23,0.0,11.5,Partially cloudy,140
136,5,16,24,64.4,46.06,0.0,11.5,Partially cloudy,84
137,5,17,28,68.0,72.16,0.65,12.7,"Rain, Overcast",90
138,5,18,31,71.4,75.33,0.07,7.5,"Rain, Overcast",113
139,5,19,22,70.1,78.14,0.03,13.2,"Rain, Overcast",73
